KEY,Japanese
common.menu.button_type.Achievement,アチーブメント
common.menu.button_type.Roster,名簿
common.menu.button_type.Costume,着替え
common.menu.button_type.Item,持ち物
common.menu.button_type.PhotoAlbum,フォトアルバム
common.menu.button_type.Music,ミュージック
common.menu.button_type.Media,メディア
common.menu.button_type.Setting,設定
common.menu.button_type.Help,ヘルプ
common.menu.button_type.Predownload,一括DL
common.menu.button_type.DataLinkage,データ連携
common.menu.button_type.Other,その他
common.menu.button_type.Title,タイトル
common.menu.button_type.Shop,ショップ
common.menu.button_type.PictureBookProduceCollection,P図鑑
common.menu.button_type.PictureBookIdolSelect,ライブ撮影
common.menu.button_type.ProduceSchedule,P手帳
common.menu.button_type.ProduceDeck,編成情報
common.menu.button_type.ProduceLog,ログ
common.menu.button_type.ProduceSetting,設定
common.menu.button_type.ProduceToHome,中断
common.menu.button_type.ProduceAchievement,アチーブ
common.menu.button_type.ProduceLiveCostume,衣装設定
common.menu.button_type.ProduceHelp,ヘルプ
common.menu.button_type.ProduceRetire,リタイア
common.menu.button_type.ProduceDearness,親愛度
common.menu.button_type.SeminarRetry,最初から
common.menu.button_type.SeminarLog,ログ
common.menu.button_type.SeminarRetire,リタイア
common.menu.button_type.Inquiry,お問い合わせ
common.menu.sheet.back_to_title.description,タイトルへ戻ります。よろしいですか？

// 動画
common.video.duration, {0} <color=#b2b2b2>/ {1}</color>
common.video.stop_confirm, 動画再生を終了しますか？
common.video.startup.stop_confirm, この動画をスキップしますか？
common.video.startup.stop_execute, スキップする

// 通知
common.notification.title.main_task,課題
common.notification.description.achievement,{0}\n{1}
common.notification.description,{0} ({1}/{2})

// ファン
common.fan.label,ファン人数

// ソートフィルタ
common.sort,ソート
common.filter,フィルタ
common.sort_filter,ソート・フィルタ
common.sort_order,表示順
common.clear_all,全解除
common.select_all,全選択
common.clear_all_filter,フィルタをリセット

// フレンドフォロー関連
common.follow,フォロー
common.follower,フォロワー
common.mutual_follow,相互フォロー

// テキスト入力シート
common.simple_input_text_sheet.warning.default,個人情報や公序良俗に反する内容は入力しないでください
common.simple_input_text_sheet.disable.min_length,{0}文字以上入力してください

// パラメーター
common.parameter.vocal,ボーカル
common.parameter.dance,ダンス
common.parameter.visual,ビジュアル
common.parameter.stamina,体力
common.parameter.mental,メンタル

// グレード
common.grade.unknown,評価なし

// RuleMaster系
common.rule.commercial_transaction.title,特定商取引法に基づく表示
common.rule.fund_settlement.title,資金決済法に基づく表示
common.rule.copyright,コピーライト

common.list.before_all_load,もっと見る

// Hover
common.hover.action_point.label,AP全回復：
common.hover.total_jewel.description,所持ジュエル内訳
common.hover.total_jewel.paid_only_label,有償
common.hover.total_jewel.free_only_label,無償
common.hover.item.location,主な入手方法

// SkillIcon
common.skill_icon.title_lock,{0}(Lv{1}で解放)

// タイトル
title.user_id,プロデューサーID: {0}
title.user_id.hide, プロデューサーID: タップで表示
title.application.version,Ver. {0}
title.tap,TAP TO START
title.company,THE IDOLM@STER™& ©Bandai Namco Entertainment Inc.\nDeveloped by QualiArts Inc.
title.data_link,データ連携
title.menu,メニュー
title.menu.cache_clear,キャッシュクリア
title.menu.customer_support,お問い合わせ
title.menu.faq,FAQ
title.menu.graphic_setting,グラフィック設定
title.menu.delete_userdata,ユーザーデータ削除
title.menu.delete_userdata.toast,ユーザーデータを削除しました
title.menu.twitter,公式X（旧Twitter）
title.menu.url.faq.ios,https://bnfaq.channel.or.jp/title/3042
title.menu.url.faq.android,https://bnfaq.channel.or.jp/title/3043
title.menu.url.twitter,https://x.com/gkmas_official
title.menu.url.customer_support.ios,https://bnfaq.channel.or.jp/title/3042
title.menu.url.customer_support.android,https://bnfaq.channel.or.jp/title/3043
title.cache_clear.description,キャッシュデータを削除すると動作が軽くなることが\nあります。\nプレイ中のゲームデータは削除されません。\nキャッシュデータをクリアしてもよろしいですか？
title.cache_clear.toast,キャッシュデータを削除しました
title.delete_userdata.description,端末に保存されているユーザーデータを削除しますか？\n\n■注意事項（※必ずお読みください）\nユーザーデータ削除を行うと最初から始めることができます\nゲームデータを復旧してプレイしたい場合は削除前にデータ連携を行ってください
title.delete_userdata.alert,データ連携されていないユーザーデータは、戻すことができません
title.delete_userdata.execute,削除する
title.menu.sheet.quality.title,品質設定
title.menu.sheet.quality.graphic.title,画質設定
title.menu.sheet.quality.graphic.description,・画質を上げると動作が重くなり、消費電力が増える可能性があります。\n・画質設定を優先する場合、フレームレートを30fpsにすることを推奨します。
title.menu.sheet.quality.graphic.detail_setting_guide,※ゲーム内ではより詳細な設定を行えます
title.menu.sheet.quality.framerate.title,フレームレート
title.menu.sheet.quality.framerate.description,数値が高いほうがなめらかに表示されます。\nフレームレートを優先する場合、品質設定を1段階下げることを推奨します。
title.menu.sheet.quality.save_execute,保存

// OCTOエラーメッセージ
octo.error.db.title,アセットの取得に失敗\nタイトルから入り直してください
octo.error.network.retry.wait,アセット取得に失敗\n時間をあけて、リトライしてください
octo.error.network.retry.com,アセット取得に失敗\n通信環境の良い場所でリトライしてください
octo.error.network.title,アセット取得に失敗\nタイトルから入り直してください
octo.error.network.cancel,アセット取得をキャンセルしました
octo.error.io.retry.wait,アセット取得に失敗\n時間をあけて、リトライしてください
octo.error.io.disk,アプリを起動できませんでした\n端末の空き容量をご確認の上、再度お試しください
octo.error.io.file,アセット取得に失敗\nファイルへのアクセス権限がありません
octo.error.load.retry.wait,アセット取得に失敗\n時間をあけて、リトライしてください
octo.error.load.title,アセット取得に失敗\nタイトルから入り直してください
octo.error.load.cancel,アセット取得をキャンセルしました
octo.error.other.retry,アセット取得に失敗
octo.error.title,通信エラー
octo.error.title_disk_full,容量不足

// インゲーム
produce.common.max_value, {0}/{1}
produce.common.max_value_slice,/{0}
produce.common.max_value_red, <color=#u:Negative>{0}</color>/{1}
produce.common.produce_point, Pポイント
produce.common.card, スキルカード
produce.common.item, Pアイテム
produce.common.drink, Pドリンク
produce.common.multiple_cost, X
produce.common.up_value, +{0}
produce.common.down_value, -{0}
produce.common.week, 週
produce.common.live_battle_config, 審査基準
produce.common.vocal,ボーカル
produce.common.dance,ダンス
produce.common.visual,ビジュアル
produce.common.shortage_point,Pポイントが足りません
produce.common.evaluation,評価
produce.common.receive,受け取る
produce.common.un_receive,受け取らない
produce.common.lesson_support,レッスンサポート
produce.common.description.ellipsis,もっと見る
produce.reference_detail.title,{0}詳細

produce.present, 活動支給
produce.shop, 相談
produce.lesson, レッスン
produce.event, イベント
produce.refresh, リフレッシュ
produce.audition, 試験

produce.card,スキルカード
produce.item,Pアイテム
produce.drink,Pドリンク
produce.achievement,アチーブメント
produce.ability,アビリティ
produce.support_event_effect,サポートイベント効果

produce.menu.home, 中断してホームに戻る
produce.menu.home_confirm, 現在のプロデュースを保存して\nホームに戻りますか？

produce.menu.goal, 目標まで
produce.menu.mid, 中間まで
produce.menu.final, 最終まで
produce.menu.last_week, 当日
produce.menu.retire,プロデュースリタイア確認
produce.menu.retire_confirm, プロデュースをリタイアしてホームに戻りますか？
produce.menu.retire_confirm_home, プロデュースをリタイアしますか？
produce.menu.retire_confirm_warning, ※進行中のプロデュースデータは削除されます\n※消費したAPは返却されません\n※「プロデュースに挑戦しよう」の課題は達成扱いになりません
produce.menu.retire_confirm_warning_item, ※使用した獲得量上昇アイテムは無くなります
produce.menu.retire_confirm_button, リタイアする
produce.menu.costume_disable,衣装設定はできません

produce.memory_money_shortage.title,マニー不足
produce.memory_money_shortage.warning,選択したメモリーをレンタルするために必要なマニーが\n不足しています
produce.memory_money_shortage.count,所持マニー
produce.memory_money_shortage.close_button,メモリーを\n再選択する
produce.memory_limit.title,メモリー所持上限
produce.memory_limit.warning,メモリーが所持上限に達しましたプロデュースを開始することができません
produce.memory_limit.description,メモリー変換で所持メモリーを整理することができます
produce.memory_limit.memory_count,所持メモリー
produce.memory_limit.memory_count.max,/{0}
produce.memory_limit.execute,メモリー変換へ

produce.menu.detail_dialog,プロデュース情報
produce.menu.detail_dialog.week,{0}週目
produce.audition_next_info.remain_title,{0}まで

produce.info.schedule,スケジュール
produce.info.status,アイドルパラメータ詳細
produce.info.remain_week_prefix,{0}まであと
produce.growth_mission.condition,条件：{0}

produce.info.status.produce_skill,プロデュース
produce.info.status.reroll,スキルカード再抽選可能回数 残り{0}
produce.info.status.button,編成詳細
produce.info.status.support_and_memory,編成中サポートカード／メモリー

produce.info.skill_list.character_dearness_ability.title,親愛度スキル
produce.info.skill_list.memory_ability.title,アビリティ
produce.info.skill_list.support_card_skill.title,サポートアビリティ
produce.info.skill_list.get_produce_ability.title,獲得メモリーアビリティ
produce.info.skill_list.idol_card_skill.title,Pアイドルスキル
produce.info.skill_list.get_live_battle_ability.title,獲得ライブバトルアビリティ
produce.info.skill_list.idol_card_skill_burst.subtitle,バーストアピール
produce.info.skill_list.idol_card_skill_appeal.subtitle,アピール
produce.info.skill_list.idol_card_skill_auto.subtitle,編成効果

produce.info.character_growth.growth,育成課題
produce.info.character_growth.achievement,True End条件アチーブメント
produce.info.character_growth.true_end_achievement,TrueEndアチーブメント

produce.item.card,所持スキルカード
produce.item.item,所持Pアイテム
produce.item.card.empty,スキルカードが選択されてません
produce.item.item.empty,Pアイテムが選択されてません
produce.item.card.empty_format,{0}のカードはありません

produce.multi_device.confirm.title, プロデュースデータの確認
produce.multi_device.confirm.description, プロデュース中に異なる端末でログインされる場合、\nプレイ中のプロデュースデータは破棄されます。\nこのままログインしてよろしいですか。
produce.server_force_reset.confirm.title, プロデュースデータの破棄
produce.server_force_reset.confirm.description, プロデュースが更新されたので、\nプレイ中のプロデュースデータは破棄されます。\n


produce.progress.week, 全{0}週 {1}週目

produce.log.title,プロデュースログ
produce.log.lesson_clear,CLEAR!
produce.log.lesson_failure,BAD..
produce.log.audition_clear,合格！
produce.log.audition_failure,不合格！
produce.log.audition_result.detail,スコア <color=#u:Positive>{0}</color>
produce.log.audition_result,{0}位
produce.log.detail.add,「{0}」を獲得
produce.log.detail.empty,変化なし
produce.log.detail.shop_end,相談を終了
produce.log.detail.title.shop_price_discount_multiple,相談での割引
produce.log.detail.title.lesson_present_produce_card_reward_count_up,レッスン報酬カード数
produce.log.detail.title.lesson_present_produce_card_reward_count_down,レッスン報酬カード数
produce.log.detail.title.produce_point_addition_value_up,Pポイント獲得量
produce.log.detail.title.produce_point_addition_value_down,Pポイント獲得量
produce.log.detail.title.lesson_present_produce_point_up,Pポイント獲得量増加
produce.log.detail.title.lesson_present_produce_point_down,Pポイント獲得量減少
produce.log.detail.title.stamina_recover_value_up,体力回復量
produce.log.detail.title.stamina_recover_value_down,体力回復量
produce.log.skill.character,親愛度効果

produce.drink.confirm_title, 使用確認
produce.drink.confirm, {0}を使用しますか？
produce.drink.max_reward, Pドリンクはこれ以上持てません

produce.event.deck_delete_warning, これ以上削除をすることができません
produce.event.deck_delete_confirm, 所持スキルカードが0枚になる効果は発揮されません。\n次に進みますか？
produce.event.stamina_recover_confirm, 体力が最大なので回復効果は発動しません。\n次に進みますか？
produce.event.drink_get_confirm, 所持上限数を超えた分のPドリンクは受け取れません。\n選択してよろしいですか？
produce.event.item_get_confirm, すでに所持しているPアイテムは獲得することができません。\n選択してよろしいですか？
produce.event.card_upgrade_confirm, 発動しないスキルカード強化効果があります。次に進みますか？
produce.event.card_max_count_confirm, スキルカード所持上限を超えるので獲得できないスキルカードがあります。次に進みますか？
produce.event.suggestion_validity.invalid_stamina, 体力が足りません
produce.event.suggestion_validity.invalid_point, Pポイントが足りません
produce.event.suggestion_validity.invalid_reward, すでに所持しているPアイテムです
produce.event.suggestion_additional_info.produce_card,トラブル追加
produce.event.button, 選択する
produce.event.no_effect_confirm,サポートイベント効果
produce.event.no_effect_confirm.description,効果による影響がないため、イベント効果は発揮されませんでした。

produce.lesson.hard.description.0, ボーカルの追い込みレッスンを開始
produce.lesson.hard.description.1, ダンスの追い込みレッスンを開始
produce.lesson.hard.description.2, ビジュアルの追い込みレッスンを開始

produce.shop.confirm_title, 交換確認
produce.shop.confirm, {0}を交換しますか？
produce.shop.confirm_remove, {0}を所持スキルカードから削除しますか？
produce.shop.sold, 交換済みです
produce.shop.confirm_title_upgrade, スキルカード強化
produce.shop.confirm_title_delete, スキルカード削除
produce.shop.confirm_button_upgrade, 強化
produce.shop.confirm_button_delete, 削除
produce.shop.lock_level, PLv{0}で解放
produce.shop.no_upgradable_card, 強化可能なスキルカードがありません

produce.common.less_toast, Pポイントが不足しています

produce.drink.trash, 捨てる
produce.drink.use, 使う
produce.drink.trash_confirm, 廃棄確認
produce.drink.trash_confirm_description, 本当に{0}を捨てますか？
produce.drink.cannot_use.noneproduceeffect,レッスンと試験以外では使用できません
produce.drink.cannot_use.staminamax,体力がすでに最大です
produce.drink.cannot_use.notarget,対象のスキルカードがありません。
produce.drink.cannot_use.handmax,手札のスキルカードが上限に達しています。
produce.drink.cannot_use.alreadyfullpower,指針はすでに全力です
produce.drink.cannot_use.alreadyconcentration,指針はすでに集中です
produce.drink.cannot_use.alreadypreservation,指針はすでに温存です

produce.present.skip.exam, 報酬スキップ
produce.present.skip, 活動支給スキップ
produce.present.skip_confirm, 対象の{0}を獲得せず次へ進みますか？
produce.present.achieve, {0}獲得

produce.refresh.title,休み確認
produce.refresh.confirm,休んで体力を回復させますか？\n（体力が<color=#u:Positive>{0}</color>回復し、<color=#u:Negative>1週経過</color>します）
produce.refresh.stamina.max, 体力は最大です
produce.refresh.button,休む

produce.confirm_stamina_sheet.title, レッスン開始確認
produce.confirm_stamina_sheet.description,体力が低下しています\nレッスンを開始しますか？
produce.confirm_stamina_sheet.button, 開始する
produce.confirm_point_sheet.title, 相談開始確認
produce.confirm_point_sheet.description,Pポイントが少ないですが相談してもよろしいですか？\n<color=#u:Negative>何もできない場合があります</color>
produce.confirm_point_sheet.button, 相談する
produce.confirm_reroll_sheet.title, スキルカード再抽選確認
produce.confirm_reroll_sheet.description,獲得可能なスキルカードの候補を再抽選しますか？\n<color=#u:Negative>プロデュース中の再抽選可能回数には制限があります</color>
produce.confirm_reroll_sheet.value_title,再抽選可能回数
produce.confirm_reroll_sheet.value,プロデュース中にあと{0}回
produce.confirm_reroll_sheet.button, 再抽選する
produce.confirm_limit_parameter_sheet.lesson.title,レッスンパラメータ上限
produce.confirm_limit_parameter_sheet.lesson.description,選択したレッスンで上昇するパラメータは\nすでに上限に到達しています。\nレッスンを開始してよろしいですか？
produce.confirm_limit_parameter_sheet.lesson.button, 開始する
produce.confirm_limit_parameter_sheet.effect.title,パラメータ上限
produce.confirm_limit_parameter_sheet.effect.description,選択した選択肢で上昇するパラメータは\nすでに上限に到達しています。\n選択してよろしいですか？
produce.confirm_limit_parameter_sheet.effect.button, 選択する

produce.upgrade.confirm, スキルカード<color=#u:Positive>{0}</color>枚を強化しますか？
produce.upgrade.description, このスキルカードを強化しますか？

produce.shop.buy, Pポイントを使用して交換しますか？
produce.shop.upgrade_name, スキルカード強化
produce.shop.delete_name, スキルカード削除
produce.shop.upgrade_description,所持しているスキルカードを\n1枚強化できます。
produce.shop.delete_description,所持しているスキルカードを\n1枚削除できます。
produce.shop.upgrade, Pポイントを使用してスキルカードを強化しますか？
produce.shop.delete, Pポイントを使用してスキルカードを削除しますか？

produce.hand.select,手札に加えるスキルカードを
produce.deck_first.select, 山札の一番上に置くスキルカードを
produce.deck_last.select, 山札の一番下に置くスキルカードを
produce.deck.select, 山札に加えるスキルカードを
produce.grave.select,使用済みにするスキルカードを
produce.lost.select, 除外済みにするスキルカードを
produce.upgrade.select, 強化するスキルカードを
produce.change.select, 変化させるスキルカードを
produce.add.select, 取得するスキルカードを
produce.remove.select, 削除するスキルカードを
produce.duplicate.select, コピーするスキルカードを
produce.common.select, スキルカードを

produce.upgrade.select.title,強化
produce.remove.select.title,削除
produce.change.select.title,チェンジ
produce.duplicate.select.title,コピー
produce.change_upgrade.select.title,チェンジして強化
produce.duplicate_upgrade.select.title,コピーして強化
produce.forecast.select.title,予知
produce.forecast.select.button,捨札に送る
produce.forecast.select.button.cancel,山札に戻す
produce.common.select.title,選択

produce.select, 選択してください
produce.select.specify, {0}枚選択してください
produce.select.min, {0}枚以上で好きな数選択してください
produce.select.max, {0}枚まで好きな数選択してください
produce.select.back, 選択に戻る
produce.select.limit,選択枚数上限に達しています
produce.select.restrict.name,使用不可
produce.select.restrict,使用不可能なスキルカードです。
produce.select.restrict.duplicate,コピー不可能なスキルカードです。
produce.select.restrict.upgrade,これ以上強化不可能なスキルカードです
produce.select.restrict.delete,削除不可能なスキルカードです
produce.select.restrict.change,チェンジ不可能なスキルカードです
produce.card.no_deck_duplicate,コピー不可
produce.card.select_none_title, 使用スキップ確認
produce.card.select_none, 1枚も選ばないで閉じるとスキップになります\n選ばないで閉じますか
produce.card.category.lesson,レッスン
produce.card.category.skill,スキル
produce.card.category.power,サポート
produce.card.category.jammer,トラブル
produce.forecast.select,次のスキルカードです。シャッフルしますか？
produce.select.empty, スキルカードが選択されていません
produce.select.empty.upgrade, 強化できません
produce.cost.count, <size=34>-</size>{0:N0}

produce.card.move_position.hand,手札
produce.card.move_position.deckfirst,山札の最初
produce.card.move_position.decklast,山札の最後
produce.card.move_position.deckrandom,山札
produce.card.move_position.grave,捨札
produce.card.move_position.lost,除外
produce.card.move_position.hold,保留
produce.card.move_position.header,{0} ({1})

// Pカード/ドリンク/アイテムフィルター
produce.card.type.active,アクティブ
produce.card.type.mental,メンタル
produce.card.type.trouble,トラブル
produce.card.filter.empty,対象のスキルカードがありません。
produce.card.filter.unlock_type,解放状態
produce.card.filter.card_category,スキルカードタイプ
produce.card.filter.exam_effect,効果
produce.card.sort.number,通常
produce.card.sort.staminavalue,消費体力
